,Context,Target,Prompt,Avg,Std,Reponses,Euphemism?
10,"B: Yeah, I mean, there would be loopholes just like there is in anything else. A: Right, you know, they'd figure a way around that one in a heartbeat. But,, I'm wondering if there's another issue here, and maybe this is why this has died out. Can you go into, and this wasn't the question but it may be the more of the issue versus should young adults, can they go in there and can anyone go well, out of the Kurdish community is a little bit extreme at this time, but say, I think Bangladesh would have been a good example or some really desperate situation and teach them to farm and teach them and it doesn't do any good. B: Yeah. A:",I don't know that it does.,teaching them to farm does any good,-1.6,1.019803902718557,"-2, -3, -2, -2, 0, -1, -1, 0, -2, -3",Yes
11,"B: I think they should be randomly drug tested. A: Yeah. B: I believe, full force in that. A: Yeah. B:",I don't know that I believe every secretary in every company needs to be.,he believes every secretary in every company needs to be drug tested,-1.6,1.6852299546352716,"-2, 3, -2, -1, -3, -2, -3, -1, -3, -2",Yes
12,"B: So, she tried to enter her number and it wouldn't work so she said, whew, it's for you. But, uh, you know, I don't know, I struggle with it,","but I really think that in terms of like this, I think that it might not be such a bad thing. Because, I don't know that anybody would feel good, you know, like if you let someone like that loose in your community.",anybody would feel good,-1.5,1.118033988749895,"0, -1, -1, -3, 0, -3, -2, -2, -2, -3, -1, 0",Yes
13,"A: That's fairly interesting. B: I bet that would be, rather interesting. Uh, that's, uh, self improvement, well, that's kind of a hobby but it is self improvement from the standpoint of probably relaxing, uh. A: Yeah,",I don't know that I read anything strictly labeled self improvement.,she reads anything strictly labeled self improvement,-1.5,0.6708203932499369,"-2, 0, -2, -1, -2, -1, -2, -1, -2, -2",Yes
14,"A: and I'm just like, well, uh, I'm not even going to think much about it if you're going to treat me with this much respect even before you've gotten to know me. B: Yeah.  Right.  Right. that's basically my opinion on it, right there, is that it's just, you know, I was in the same sort of situation as, it was a job interview and then you had a physical, where you were drug tested, and it's, I just, and I know people who have been drug tested and who have not, you know, been hired by a corporation which, uh, you know, I really. The other side of it is, besides its being an invasion of personal privacy, it's my bodily fluid and I don't really want you to look at it, or something pretty basic like that, A: Uh-huh. B:",just to the fact that I don't know that it is a company's business to regulate what its employees are doing when they're not at work.,it is a company's business to regulate what its employees are doing when they're not at work,-1.416666667,1.6562172428626492,"3, -1, -1, -1, -3, -3, -2, -1, -3, -2, 0, -3",Yes
15,"B: Uh, do you feel that yours is invaded? A: Uh, no I wouldn't call it invading my privacy by any means. Uh, you know, I would, there's a lot of times though, uh, you get those calls you know, when you're sitting at home wanting to relax or whatnot and, you know, next thing you know, uh, someone calls and wants to sell you this or that and it's real hard to tell them, you know, that you're not interested. Or you do tell them you're not interested and they still keep asking you, you know, and keep badgering you about it, and that aggravates me.",But I don't know that you could call that invading my privacy,someone could call that invading her privacy,-1.4,1.3564659966250536,"-2, 0, -2, -1, -3, -3, 1, -1, 0, -3",Yes
16,"A: but the thing is, that, um. B: Well, especially being a college student your,","I don't know that you need to be involved in a lot of frivolous gift giving, you know,",speaker A needs to be involved in a lot of frivolous gift giving,-1.375,0.9921567416492215,"-2, -3, -2, 0, -1, -1, -2, 0",Yes
17,"A: you know, you create a bigger family, generation after generation but not really on purpose. B: Yeah. A: So. It's not a real functional situation anyway.","So, you know, I don't know that that trend's going to change the single parent type families",that trend's going to change the single parent type families,-1.2,1.16619037896906,"-2, 0, -2, 0, -3, -1, 0, -1, -3, 0",Yes
18,"A: Uh, such like, maybe in murder they get to choose whether it's, uh, premeditated or one or two of the lesser degrees. The other thing that juries are restricted on and at least to me this has been one of the frustrating things even in my own experiences, that you usually don't get to hear all the information. B: Yeah. A: It's what information is presented","and, uh, I don't know that juries have a right to know more because in a sense we call those safeguards,",juries have a right to know more,-1.181818182,1.1134044285378082,"-2, -2, 0, -2, -1, -1, -3, 0, -1, -2, 1",Yes
19,"B: I mean, you know, he's so messed up. A: Right. B: And, um, this was a nice, sweet, young man who, teenager, you know, and he's now a young man about twenty, I guess, who, um, just got really down the wrong path. A: Right. B:","And, uh, you know, I don't know that his problem would ever have been detected by drug testing.",the young man's problem would ever have been detected by drug testing,-1.0,1.0,"-1, 0, 0, -1, 0, -3, -1, -2",Yes
20,"B: Yeah. they own you or, you know, grant you with you their presence, you know. A: Yeah, right.  Yeah. Right. That, yes, we're supposed to appreciate them. Well, uh, when I come home in the evenings, my dog greets me at the door.","I don't know that a cat would do that, uh.",a cat would do that,-0.875,1.2686114456365274,"-1, 0, -2, 0, 0, -3, 1, -2",?
21,"B: It's, uh, I don't know, I don't really liken it to alcohol but, yet that can be carried to an extreme, too. A: Uh-huh. B: So I think it's a good idea and I think just the idea you know that you may be tested might keep you off of them or get you off of them because you're, A: Right. B:","I don't know that their job would be at risk,",their job would be at risk,-0.727272727,0.8624393618641034,"-2, -1, 0, 0, 0, -1, 0, -2, 0, 0, -2",?
22,"A: He's in here somewhere, I know he is. B: Right. A: Yeah. Well, I know how to use one. we go hunting every once in a while and he showed me how to use his guns and I really enjoy it","but, boy if someone did break in, I don't know that I could or would even grab it.",he could or would even grab the gun,-0.7,1.345362404707371,"0, -2, 0, -1, -3, 2, 0, -2, 0, -1",No
23,"B: I don't know that you could require everyone yeah, to do it for a whole year, or two years or something like that, A: Mandatory just like the draft.  No. B:","I don't know that that would work if, somebody's, didn't really want to be there and didn't have,",that would work,-0.6,0.8,"-2, -1, -1, 0, 1, -1, 0, -1, 0, -1",?
24,"B: Yeah, and EDS is very particular about this, hair cuts, A: Wow. B: I mean it was like you can't have, you know, such and such facial hair, no beards, you know, and just really detailed. A:",I don't know that that would be a good environment to work in.,that would be a good environment to work in,-0.5,1.4142135623730951,"-1, 2, 0, -3, 0, 0, -2, 0",?
25,"B: Oh, she was just funny. A: Really? B: She was really funny. And her character was good.",I don't know that it was her in particular but just the character.,it was her in particular,-0.111111111,1.0999438818457405,"1, 0, -2, -1, 0, 0, -1, 0, 2",No
26,"A: That, so that's, and I don't know, you know, I think about, well, the dress code they have for the kids, you know. Are they put one on the parents, or the teachers and say the men have to wear ties and there can be no blue jeans worn and, because some of the teachers I know wear, uh, dress up jeans, not sloppy looking jeans but tapered jeans that they've had dry cleaned so they have got the crease B: Uh-huh. A: and, uh, you know, they'll wear it with a nice top.","and, uh, I don't know that that looks that bad.",that looks bad,0.0,1.5954480704349312,"0, 2, 0, -2, 1, -2, -1, -2, 0, 3, 1",No
27,"A: That's right, that's right. B: Uh, I don't have other than a reading and male perspective on the biological urges involved relative to being a mother or not. Uh, my sense is that I have very much an interest and had one in being a parent.","I don't know that I, uh, felt myself necessarily encumbered with the necessity to have heirs.",he felt himself necessarily encumbered with the necessity to have heirs,0.5,1.4317821063276353,"-2, -1, 1, 0, 3, 2, 0, 0, 0, 2",?
28,"A: See those type of people that have the most opinions, ones that don't know anything. B: Yeah. A: Well, uh, I've had teenagers and I now have grandchildren that are teenagers,",and I don't know that it might do them a little bit of good to see the world from a different perspective.,it might do teenagers a little bit of good to see the world from a different perspective,0.625,1.653594569415369,"3, 1, 2, -1, 1, -1, 2, -2",?
